pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_b16a_bendesc_yn	pbp_b16a_bendesc_ehc	pbp_b16a_bendesc_amo_oe	pbp_b16a_bendesc_lim_oe	pbp_b16a_bendesc_numv_oe	pbp_b16a_bendesc_per_oe	pbp_b16a_bendesc_amo_pc	pbp_b16a_bendesc_lim_pc	pbp_b16a_bendesc_numv_pc	pbp_b16a_bendesc_per_pc	pbp_b16a_bendesc_amo_ft	pbp_b16a_bendesc_lim_ft	pbp_b16a_bendesc_numv_ft	pbp_b16a_bendesc_per_ft	pbp_b16a_bendesc_amo_dx	pbp_b16a_bendesc_lim_dx	pbp_b16a_bendesc_numv_dx	pbp_b16a_bendesc_per_dx	pbp_b16a_maxplan_yn	pbp_b16a_maxplan_in_oon	pbp_b16a_maxplan_amt	pbp_b16a_maxplan_per	pbp_b16a_maxenr_yn	pbp_b16a_maxenr_amt	pbp_b16a_maxenr_per	pbp_b16a_coins_yn	pbp_b16a_coins_ehc	pbp_b16a_coins_cserv_sc_pov_yn	pbp_b16a_coins_cserv_sc_pov	pbp_b16a_coins_pct_minov	pbp_b16a_coins_pct_maxov	pbp_b16a_coins_pct_oe	pbp_b16a_coins_pct_maxoe	pbp_b16a_coins_pct_pc	pbp_b16a_coins_pct_maxpc	pbp_b16a_coins_pct_ft	pbp_b16a_coins_pct_maxft	pbp_b16a_coins_pct_dx	pbp_b16a_coins_pct_maxdx	pbp_b16a_ded_yn	pbp_b16a_ded_amt	pbp_b16a_copay_yn	pbp_b16a_copay_ehc	pbp_b16a_copay_cserv_sc_pov_yn	pbp_b16a_copay_cserv_sc_pov	pbp_b16a_copay_amt_ovmin	pbp_b16a_copay_amt_ovmax	pbp_b16a_copay_amt_oemin	pbp_b16a_copay_amt_oemax	pbp_b16a_copay_amt_pcmin	pbp_b16a_copay_amt_pcmax	pbp_b16a_copay_amt_ftmin	pbp_b16a_copay_amt_ftmax	pbp_b16a_copay_amt_dxmin	pbp_b16a_copay_amt_dxmax	pbp_b16a_auth_yn	pbp_b16a_refer_yn	pbp_b16b_bendesc_yn	pbp_b16b_bendesc_ehc	pbp_b16b_bendesc_amo_es	pbp_b16b_bendesc_lim_es	pbp_b16b_bendesc_numv_es	pbp_b16b_bendesc_per_es	pbp_b16b_bendesc_amo_ds	pbp_b16b_bendesc_lim_ds	pbp_b16b_bendesc_numv_ds	pbp_b16b_bendesc_per_ds	pbp_b16b_bendesc_amo_rs	pbp_b16b_bendesc_lim_rs	pbp_b16b_bendesc_numv_rs	pbp_b16b_bendesc_per_rs	pbp_b16b_bendesc_amo_end	pbp_b16b_bendesc_lim_end	pbp_b16b_bendesc_num_end	pbp_b16b_bendesc_per_end	pbp_b16b_bendesc_amo_peri	pbp_b16b_bendesc_lim_peri	pbp_b16b_bendesc_num_peri	pbp_b16b_bendesc_per_peri	pbp_b16b_bendesc_amo_ext	pbp_b16b_bendesc_lim_ext	pbp_b16b_bendesc_num_ext	pbp_b16b_bendesc_per_ext	pbp_b16b_bendesc_amo_poo	pbp_b16b_bendesc_lim_poo	pbp_b16b_bendesc_numv_poo	pbp_b16b_bendesc_per_poo	pbp_b16b_maxplan_yn	pbp_b16b_maxplan_in_oon	pbp_b16b_maxbene_type	pbp_b16b_maxplan_amt	pbp_b16b_maxplan_per	pbp_b16b_maxenr_yn	pbp_b16b_maxenr_type	pbp_b16b_maxenr_amt	pbp_b16b_maxenr_per	pbp_b16b_coins_yn	pbp_b16b_coins_ehc	pbp_b16b_coins_pct_mc_min	pbp_b16b_coins_pct_mc_max	pbp_b16b_coins_pct_es_min	pbp_b16b_coins_pct_es_max	pbp_b16b_coins_pct_ds_min	pbp_b16b_coins_pct_ds_max	pbp_b16b_coins_pct_rs_min	pbp_b16b_coins_pct_rs_max	pbp_b16b_coins_pct_end_min	pbp_b16b_coins_pct_end_max	pbp_b16b_coins_pct_peri_min	pbp_b16b_coins_pct_peri_max	pbp_b16b_coins_pct_ext_min	pbp_b16b_coins_pct_ext_max	pbp_b16b_coins_pct_poo_min	pbp_b16b_coins_pct_poo_max	pbp_b16b_ded_yn	pbp_b16b_ded_amt	pbp_b16b_copay_yn	pbp_b16b_copay_ehc	pbp_b16b_copay_amt_mc_min	pbp_b16b_copay_amt_mc_max	pbp_b16b_copay_amt_es_min	pbp_b16b_copay_amt_es_max	pbp_b16b_copay_amt_ds_min	pbp_b16b_copay_amt_ds_max	pbp_b16b_copay_amt_rs_min	pbp_b16b_copay_amt_rs_max	pbp_b16b_copay_amt_end_min	pbp_b16b_copay_amt_end_max	pbp_b16b_copay_amt_peri_min	pbp_b16b_copay_amt_peri_max	pbp_b16b_copay_amt_ext_min	pbp_b16b_copay_amt_ext_max	pbp_b16b_copay_amt_poo_min	pbp_b16b_copay_amt_poo_max	pbp_b16b_auth_yn	pbp_b16b_refer_yn
H5216	053	0	1	04	01	H5216_053_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	054	0	1	04	01	H5216_054_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	055	0	1	04	01	H5216_055_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	057	0	1	04	01	H5216_057_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	2																																			2				2																		2		1	01000000	40.00	40.00															1	2
H5216	058	0	1	04	01	H5216_058_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	3	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	1101111	3	2	2	3					3	2	5	6	3	2	1	3	3	2	5	3	3	1			3	2	6	6	1		1			2				1	10101111			50	50			50	70	70	70	70	70	50	50	70	70	2		1	01000000	45.00	45.00															1	2
H5216	059	0	1	04	01	H5216_059_0	2	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	2																																			2				2																		2		1	01000000	40.00	40.00															1	2
H5216	061	0	1	04	01	H5216_061_0	4	1	1110	2	2	1	3	2	2	1	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	1	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	50.00	50.00															1	2
H5216	062	0	1	04	01	H5216_062_0	4	1	1110	2	2	2	3	2	2	2	3					2	2	2	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	4	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	40.00	40.00															1	2
H5216	063	0	1	04	01	H5216_063_0	4	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1	2	2000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	1001001									2	2	3	3									2	2	2	3	2	2	4	6	1		1			2				1	10001001							50	70					50	50	70	70	2		1	01000000	25.00	25.00															1	2
H5216	064	0	1	04	01	H5216_064_0	4	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	065	0	1	04	01	H5216_065_0	4	1	1110	2	2	2	3	2	2	2	3					2	2	2	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	4	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	40.00	40.00															1	2
H5216	066	0	1	04	01	H5216_066_0	5	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	067	0	1	04	01	H5216_067_0	5	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H5216	068	0	1	04	01	H5216_068_0	4	1	1110	2	2	1	3	2	2	1	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	1	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	35.00	35.00															1	2
H5216	070	0	1	04	01	H5216_070_0	3	1	1110	2	2	1	3	2	2	1	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	1	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	45.00	45.00															1	2
H5216	071	0	1	04	01	H5216_071_0	4	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001001									2	2	2	3									2	2	2	3					1		1			2				1	00001001							50	50					50	50			2		1	01000000	40.00	40.00															1	2
H5216	072	0	1	04	01	H5216_072_0	7	1	1110	2	2	1	3	2	2	1	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	1	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	40.00	40.00															1	2
H5216	073	0	1	04	01	H5216_073_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	074	0	1	04	01	H5216_074_0	3	1	1110	2	2	2	3	2	2	2	3					2	2	2	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001010									2	2	4	3					2	2	1	3									2					2				1	00001010							0	0			0	0					2		1	01000000	40.00	40.00															1	2
H5216	075	0	1	04	01	H5216_075_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	076	0	1	04	01	H5216_076_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	077	0	1	04	01	H5216_077_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	30.00	30.00															1	2
H5216	078	1	1	04	01	H5216_078_1	4	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	078	2	1	04	01	H5216_078_2	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H5216	080	1	1	04	01	H5216_080_1	3	1	1111	2	2	3	6	2	2	2	3	2	2	2	3	2	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0001011									2	2	2	3					2	2	5	6	2	2	2	3					1		1			2				1	00001011							50	50			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H5216	080	2	1	04	01	H5216_080_2	3	1	1111	2	2	3	6	2	2	2	3	2	2	2	3	2	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0001011									2	2	2	3					2	2	5	6	2	2	2	3					1		1			2				1	00001011							50	50			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	080	3	1	04	01	H5216_080_3	3	1	1111	2	2	3	6	2	2	2	3	2	2	2	3	2	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0001011									2	2	2	3					2	2	5	6	2	2	2	3					1		1			2				1	00001011							50	50			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	081	0	1	04	01	H5216_081_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	083	0	1	04	01	H5216_083_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	2				2			1	1110	2				0	0	0	0			0	0	2		2														2	2	2																																			2				2																		2		1	01000000	50.00	50.00															1	2
H5216	085	0	1	04	01	H5216_085_0	4	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	086	0	1	04	01	H5216_086_0	2	1	1110	2	2	2	6	2	2	1	3					2	2	3	6	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001001									2	2	1	3									2	2	1	3					1		1			2				1	00001001							0	0					0	0			2		1	01000000	45.00	45.00															1	2
H5216	088	0	1	04	01	H5216_088_0	4	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1	2	1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001001									2	2	2	3									2	2	2	3					1		1			2				1	00001001							50	50					50	50			2		1	01000000	45.00	45.00															1	2
H5216	089	0	1	04	01	H5216_089_0	4	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H5216	091	0	1	04	01	H5216_091_0	4	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	092	0	1	04	01	H5216_092_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	50.00	50.00															1	2
H5216	093	0	1	04	01	H5216_093_0	4	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H5216	096	0	1	04	01	H5216_096_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	40.00	40.00															1	2
H5216	097	0	1	04	01	H5216_097_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H5216	098	0	1	04	01	H5216_098_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1	2	2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	40.00	40.00															1	2
